id,first_biz_year
g5_H-U7ek51C1tT1ep4igQ,2014.0
HKOIqLtg9f780JHOouonGg,
aUVAXipfJjqpWOWANaEREA,
Sig-hMr7IhYV6YrEf2AIcQ,
Mv_emLBsG3gCcngTxh6YvA,
fYygm3ZeZ90uOl0NHmhN8Q,
MouzQUyysutTwqSJ8ePO4w,
M7mIbSQr7ZVnuJrZ3IQFUA,
cnRpqEXy1OlsPNQ6yAlfeQ,
keOfImau8Bc5WGb60JwsSA,
Sd8a575GjLRu52C8YiTujg,
MNHAheo6ZTgLpmGFLTtVYg,
a3goIpfFbEN5mYS7KHkE2A,
FwnhsULy6VYnxbPC3ETv3Q,
f5k6pzG_rbJWLcVJOlfMTw,2005.0
ERn3jyYtxIuQnfosJKSxTw,
L3F2qT7zc_Thp1603wcgGQ,
4xZTbIW9rCZWMt4ez2b0IA,
CQfvjLuDJuEDjqLmS-dNeQ,
wibKw2Ml8IaMB8JK_1SQ6w,
e8HM7icP_42ML-49h0V45g,
7SINTlLb9QSFq619CEEWtA,
8ep5qd3m0ZQCewhkESZ9Og,
St0JPrOw7925JXlTtbuZYQ,
gtDQp-XEbwPxiCwmsz59JQ,2016.0
gr_rtqlIAQNX3aM1NzUs2g,2016.0
1tTGVsTiWRu9pqacZ1mQrQ,
MZn-oQPwd6YStvtl5PXbKA,
-jstiI1dmdxeWyOvZaC_4w,
53qf3Uw6hs-FL6Vw9v6o3w,
IgcB1LnZVvJii5ya5s8IWg,
507QWyRatQfF0HRrIWa9Jg,
m1qac4lDlkjxkFi3_qdHWw,2021.0
DFtBlLNvP-x9Rcwh3H77yg,
bpt_XEfvpLZLQjs23YY8nw,
iNM_J9YOayHSmdFKjSiIdA,
zTkUGAYV8xgKThXZz-aR2A,1981.0
Sh4LbjMTLA9D_CYL7XqavQ,
vMi-upxBf_e5si-EK39YIQ,
yXAqMIktVAa6F_aV3KfNkA,
PSV01KsYZ0xzDeHcxtePhQ,
lS_OIa78aH81Q3CHDPHYCg,
wedeiyVwcdLpkqksIkpMbQ,
66u18CGIr4ThoyOwMLYeUw,
ysTZx0yiBphoYgLV4f2sqA,
sW8fcNi7d38RDgKD8tbbFg,2000.0
3qh3JPoPY5JA7v2x4uOIMw,
z4f2SKHlFvv81L4LTi8zGQ,
296vX1QZt8XmQt4ZPy9n3A,2018.0
WgNSIyeZa29HkOUZ87cu5g,
oN6AlSFFdKoVbajK9_QG8Q,
GyMHs8PiJ417GbqD65zcTw,
lkv46KzWibb2AU55gi-ZRA,
_CSPFr9GieWI0AHd7ogdyg,
4Na1GPIGUAMWuw9x-ABOjg,
hQdXK2Oe7pH3WCOzFvLQjQ,
W_sW-1gmb4kw7T7CccYZcg,
armVET_Q4fU0AHGtldd47w,
UTMSiLFDOTwtqaH2k2eD6w,
O6TZChxAiFoEq-MdbDIDiw,1997.0
ckiv88p9G9RpfMJq5dYHIg,
wrTChy7IJ9ysqxGzUZvIag,
ZCj4QbfqB_czH-Gc_CuDuA,
5-BvKiwXYRr7UB2hr4_Kpw,
mWbxSuoaJufpbQ2_CbI8GQ,2016.0
QTvSe8eQ_720rBlKp_O1Ww,
kCLXx9NgZfOEys3STRj7rA,2014.0
4_MyAmae-ZQ4AKbwue4iTg,
ZfPeORlTE_Bcj1cl8_7QaA,
qWZgkbOAxnpyx75PUpg7gw,
NW_n4LKv1ihlf8MMHUHnHQ,
2hUyAc5gP7mo0gYXsZ7Zrw,
J18xHVX6Cv1qQEG0RijRZA,2021.0
B67jt2aW5FvcmwIG19P3Sg,2000.0
S6QXCEu_U5s32pCvc9BbJg,
ckRQQHtO550JF9JmYq1i5g,2013.0
o3twKUZ0eWNKN5X8srV0Dg,
cYt9VeabjtRX3SykM366YA,
atNDyoeFAkQzl3BhtismTA,
NYp2_UW9MlpADF0_rXct1g,
FXBiJYc4ovLicyEbFT17Yw,
KyToP5E4YwwNSGWBKMjKRA,2016.0
n0Q8N8sN6kORc71jN2srJA,
4iPOgVdlbphwq6XwMw0mVQ,
bbrUrlZFj8HUHRv-SunsYg,
IGeXNYIE2AKDBxJUASeO4w,2002.0
DGCeICccGdssF4gyu2FXHw,
iatM6gHHt4KJu5UnLNUFWQ,
gb4y9xIPunBeY9N4CS1Z5Q,
Pe8U2NbCpv5UgeErd59KQQ,
OfXRw_PXS6iZs9SkZj_i8w,
TrOs-2s6i2j7WhXb2LDqpQ,
yUVNeKE67TEEHuwCbJ3k7g,2000.0
CyMdvN7ZATl1wCx9dRGKtw,
4FX2j2UppXz8krReL5uV-Q,
5m84PyIcTX_7NHHJ_EYvCw,
srhji5dNSwbX-myTsex6bg,
XRh7jL-vh86G7ddM5QtWIQ,
zri9bx67MF3e0WJSo49sZw,
IA17PJm9A6SLghBN1AoDVQ,
SpHGQebgMxB7drM2nzcApg,
OLoqZU3GqhHKUagYfpUiVw,
CbZzsj4JZDZTAiAtuLLlpA,
OdmBJUxHCNEbVKknAs_caw,
p31pd9nYVJHP9JHChuoXuA,
jWDS6PAEgMlG0kuHHkkvJA,
yPShtX9Op68QeOszXNsrTg,
xRxhT3Lk9dDx_4Pcyy4ZfQ,
fCKK06SAYx78iRME2WlAjw,
6cKzI0L-RcA0zzU_jQS-kA,
ZT1R2I-19WT5-KR9y6Hc6g,
wu5rEpU-gmRrCi7ALQw6Mw,
wHalRgv8xL-kbhIVoCS2jg,
Fp_5L5T-8x5LnKCeRqgYjA,
bmrvOotzmPxIzHI_ex5Ekw,
RCskqlUyJAtgfKF4sO7zog,
VG8qAsVupV_egMBw5mHpaA,
zlUpC7QDw7sCCNsgwQ4u5w,2012.0
PQ598DloUsKXAm59zvwULw,2016.0
AMupsdwhvpzt0NPoE16YOg,
BcJceAv9R630i-G5t3P5Vg,
Ku4vri6IDUacycnXgAYu9g,
kb2K9T2W2sHwGUcyw1Bd4w,
f-6VHbtBLvLujoCz0rOjGQ,
LUpahPVj4PPjx16HJZay-A,
CKfaS2VWHYu3KYMzitXa9A,
cJFIgSJW55gbzaTFybwgxA,
P795GZKU4xQEhUpr1ecxgQ,2005.0
0QvWVbRHAvI-0qbx38TSZA,
rMf0VzzBXQy_PpFa0ADBBw,
WOeVx7k4iEC6sTwtlRitWQ,
d_x3UQ67soDQUNW1kj-z1Q,
QYUflwESFmst9e3-lbYW9Q,
R93CAH5jhcNKkfjgdX30Hg,
cplSCBbqRs_cRkVhFuulKA,
KjygluPj9SRIVZQDyeH5ZA,
A6MsE65RIOzyw4lMnO7HVw,
UTJElg2L3fIF5nU6or5Yeg,
Y9MSElbrbVM2Q7HDgKpM2g,
ygls6VE_et-6jMAgdIhfuA,
IWQ0hnR9WY21qS4EzR8uDg,
Zwvlfsh18HFWTWWc9bko-A,
9q0OHCPucN_D3LQ4Ejcd8Q,
md0ezbgcuMnNRc_DfkwzAg,
46kbjMmRXUJ5OPRF31rBvw,
dn5vebWKd5NYKaGm5v_iSQ,
