id,alias
g5_H-U7ek51C1tT1ep4igQ,alpine-fitness-alpine-4
HKOIqLtg9f780JHOouonGg,alpine-physical-therapy-alpine-2
aUVAXipfJjqpWOWANaEREA,lifted-life-yoga-center-alpine
Sig-hMr7IhYV6YrEf2AIcQ,paul-toms-academy-of-mixed-martial-arts-american-fork
Mv_emLBsG3gCcngTxh6YvA,xd-fit-pleasant-grove
fYygm3ZeZ90uOl0NHmhN8Q,hotworx-highland-ut-alpine-highland-3
MouzQUyysutTwqSJ8ePO4w,mountain-west-pilates-pleasant-grove
M7mIbSQr7ZVnuJrZ3IQFUA,momentum-indoor-climbing-lehi-lehi
cnRpqEXy1OlsPNQ6yAlfeQ,crossfit-lehi-lehi
keOfImau8Bc5WGb60JwsSA,legends-boxing-lehi-lehi-3
Sd8a575GjLRu52C8YiTujg,adam-tischler-cedar-hills
MNHAheo6ZTgLpmGFLTtVYg,crossfit-hyperion-pleasant-grove
a3goIpfFbEN5mYS7KHkE2A,the-muscle-bus-south-jordan
FwnhsULy6VYnxbPC3ETv3Q,the-training-room-american-fork
f5k6pzG_rbJWLcVJOlfMTw,anytime-fitness-highland-3
ERn3jyYtxIuQnfosJKSxTw,peak-state-fit-salt-lake-city
L3F2qT7zc_Thp1603wcgGQ,lawrence-championship-martial-arts-american-fork
4xZTbIW9rCZWMt4ez2b0IA,core-fit-studio-lehi
CQfvjLuDJuEDjqLmS-dNeQ,the-ninja-playground-lehi
wibKw2Ml8IaMB8JK_1SQ6w,embodied-patience-millcreek-2
e8HM7icP_42ML-49h0V45g,work-training-studio-pleasant-grove-3
7SINTlLb9QSFq619CEEWtA,bhakti-house-pleasant-grove
8ep5qd3m0ZQCewhkESZ9Og,kmacfit-american-fork
St0JPrOw7925JXlTtbuZYQ,the-box-pleasant-grove
gtDQp-XEbwPxiCwmsz59JQ,orangetheory-fitness-american-fork-2
gr_rtqlIAQNX3aM1NzUs2g,orangetheory-fitness-lehi
1tTGVsTiWRu9pqacZ1mQrQ,
MZn-oQPwd6YStvtl5PXbKA,fit-to-recover-salt-lake-city
-jstiI1dmdxeWyOvZaC_4w,sarah-yoga-and-wellness-lehi
53qf3Uw6hs-FL6Vw9v6o3w,bushi-ban-martial-arts-and-fitness-american-fork
IgcB1LnZVvJii5ya5s8IWg,soul-elevation-wellness-bountiful
507QWyRatQfF0HRrIWa9Jg,the-balance-babe-millcreek-2
m1qac4lDlkjxkFi3_qdHWw,
DFtBlLNvP-x9Rcwh3H77yg,salt-city-wellness-salt-lake-city
bpt_XEfvpLZLQjs23YY8nw,crossfit-timpanogos-lehi
iNM_J9YOayHSmdFKjSiIdA,
zTkUGAYV8xgKThXZz-aR2A,vasa-fitness-american-fork-4
Sh4LbjMTLA9D_CYL7XqavQ,booths-ata-black-belt-academy-american-fork
vMi-upxBf_e5si-EK39YIQ,
yXAqMIktVAa6F_aV3KfNkA,premier-martial-arts-pleasant-grove-2
PSV01KsYZ0xzDeHcxtePhQ,
lS_OIa78aH81Q3CHDPHYCg,
wedeiyVwcdLpkqksIkpMbQ,vasa-fitness-lehi-lehi
66u18CGIr4ThoyOwMLYeUw,
ysTZx0yiBphoYgLV4f2sqA,
sW8fcNi7d38RDgKD8tbbFg,
3qh3JPoPY5JA7v2x4uOIMw,
z4f2SKHlFvv81L4LTi8zGQ,
296vX1QZt8XmQt4ZPy9n3A,
WgNSIyeZa29HkOUZ87cu5g,
oN6AlSFFdKoVbajK9_QG8Q,the-anatomy-of-wellness-cottonwood-heights-2
GyMHs8PiJ417GbqD65zcTw,mountain-yoga-sandy-sandy
lkv46KzWibb2AU55gi-ZRA,absolute-mma-west-jordan-2
_CSPFr9GieWI0AHd7ogdyg,big-mountain-barbell-midvale
4Na1GPIGUAMWuw9x-ABOjg,purify-wellness-center-pleasant-grove-2
hQdXK2Oe7pH3WCOzFvLQjQ,neighborhood-acupuncture-and-healing-arts-draper
W_sW-1gmb4kw7T7CccYZcg,westwind-karate-schools-sandy
armVET_Q4fU0AHGtldd47w,jeremy-horns-elite-performance-mma-sandy-2
UTMSiLFDOTwtqaH2k2eD6w,momentum-indoor-climbing-sandy-sandy
O6TZChxAiFoEq-MdbDIDiw,xcel-fitness-holladay
ckiv88p9G9RpfMJq5dYHIg,unified-brazilian-jiu-jitsu-south-jordan
wrTChy7IJ9ysqxGzUZvIag,personal-mastery-martial-arts-sandy
ZCj4QbfqB_czH-Gc_CuDuA,evolve-wellness-collective-south-jordan
5-BvKiwXYRr7UB2hr4_Kpw,westwind-karate-midvale
mWbxSuoaJufpbQ2_CbI8GQ,orangetheory-fitness-sandy-sandy
