name,zip_code,latitude,longitude,rating,review_count,category,has_online_services,distance,total_pop,median_income,bachelors_degrees,median_age,pct_bachelors
The Cliff Spa,84092,40.58260659252161,-111.65421125896988,3.6,55,spas,0,119131.96226783925,28162.0,153333.0,5821.0,42.3,20.669696754491866
The Quarry,84604,40.2649049,-111.6697406,4.3,22,rock_climbing,0,118140.5066131371,43749.0,74522.0,6599.0,23.6,15.083773343390705
Tougher Personal Training,84501,39.59970612697956,-110.80967,5.0,19,healthtrainers,0,94430.56474803684,13002.0,53256.0,1069.0,37.1,8.221812028918627
Eventful Yoga,84098,40.73387,-111.52816,5.0,6,yoga,0,115749.75850863617,20311.0,171151.0,5789.0,41.9,28.50179705578258
3B Yoga,84604,40.2985456,-111.6580047020616,5.0,13,yoga,0,116876.12505462872,43749.0,74522.0,6599.0,23.6,15.083773343390705
Anytime Fitness,84651,40.0322371389139,-111.735760121641,4.9,8,gyms,0,128420.49710967824,29502.0,94152.0,3682.0,29.7,12.480509795946038
XD Fit,84062,40.35451,-111.735406,5.0,8,intervaltraininggyms,0,123271.23044918072,47489.0,101584.0,7843.0,27.8,16.515403567141863
EXL Fitness & Performance,84057,40.3272661,-111.7084065,5.0,9,bootcamps,0,121021.98429873356,37620.0,80184.0,6026.0,28.3,16.018075491759703
The Shop,84060,40.65032,-111.50286,4.8,25,yoga,0,108736.24766300221,8575.0,132412.0,2597.0,47.7,30.28571428571429
Yoga Mastery Institute,84098,40.750914434168955,-111.572402,5.0,20,yoga,0,118055.80010715083,20311.0,171151.0,5789.0,41.9,28.50179705578258
Upgrade Labs,84098,40.7204095287276,-111.5399872349182,4.4,7,cryotherapy,0,114272.19492350459,20311.0,171151.0,5789.0,41.9,28.50179705578258
Stillwell Spa,84092,40.591248,-111.632414,4.2,16,massage,0,117543.80450785885,28162.0,153333.0,5821.0,42.3,20.669696754491866
Now and Zen Massage,84060,40.663453,-111.493592,4.2,54,massage,0,108446.65786561379,8575.0,132412.0,2597.0,47.7,30.28571428571429
CrossFit Utah Valley,84042,40.33652095593725,-111.750409,5.0,5,intervaltraininggyms,0,124559.95765323943,11570.0,104840.0,1935.0,30.1,16.72428694900605
Passion Fitness,84057,40.2901056,-111.6980166,5.0,6,healthtrainers,0,120317.04706683855,37620.0,80184.0,6026.0,28.3,16.018075491759703
Silver Mountain Sports Club & Spa,84060,40.66319,-111.49361,3.6,69,gyms,0,108446.65786561379,8575.0,132412.0,2597.0,47.7,30.28571428571429
