category_group,price,median_income,median_home_value,median_age,pct_bachelors,pct_prime_gym_age,total_pop,competition_1km,competition_3km,market_gap,gym_density_per_1k,income_per_competitor,is_thriving,id,name,zip_code,latitude,longitude
general_gym,0,170500.0,980300.0,38.9,21.770403759470604,12.7937086410281,10427.0,4,11,22233.333333333332,0.47952431188261246,14208.333333333334,1.0,g5_H-U7ek51C1tT1ep4igQ,Alpine Fitness,84004,40.448977,-111.779317
martial_arts,0,120330.0,630300.0,28.0,18.986592373324047,23.54344419293052,57430.0,0,17,67605.0,0.3308375413546927,6685.0,1.0,Sig-hMr7IhYV6YrEf2AIcQ,Paul Tom's Academy Of Mixed Martial Arts,84003,40.3797684,-111.8134232
mind_body,0,105649.0,536100.0,27.8,16.987011900529144,23.627465333695856,47813.0,4,16,75313.33333333333,0.2928073954782172,6214.64705882353,1.0,MouzQUyysutTwqSJ8ePO4w,Mountain West Pilates,84062,40.354262699332565,-111.7398412
other,0,129852.0,607500.0,26.9,18.539427537051704,24.45864916845797,88390.0,7,12,93995.65217391304,0.24889693404231247,9988.615384615385,1.0,M7mIbSQr7ZVnuJrZ3IQFUA,Momentum Indoor Climbing- Lehi,84043,40.382834,-111.834659
martial_arts,0,129852.0,607500.0,26.9,18.539427537051704,24.45864916845797,88390.0,9,13,93995.65217391304,0.24889693404231247,9275.142857142857,1.0,keOfImau8Bc5WGb60JwsSA,Legends Boxing - Lehi,84043,40.389004375754205,-111.83570423679453
general_gym,0,120330.0,630300.0,28.0,18.986592373324047,23.54344419293052,57430.0,4,16,67605.0,0.3308375413546927,7078.235294117647,1.0,FwnhsULy6VYnxbPC3ETv3Q,The Training Room,84003,40.361566,-111.78352
general_gym,0,120330.0,630300.0,28.0,18.986592373324047,23.54344419293052,57430.0,6,13,67605.0,0.3308375413546927,8595.0,0.0,f5k6pzG_rbJWLcVJOlfMTw,Anytime Fitness,84003,40.43385,-111.78549
general_gym,0,120330.0,630300.0,28.0,18.986592373324047,23.54344419293052,57430.0,5,17,67605.0,0.3308375413546927,6685.0,0.0,zTkUGAYV8xgKThXZz-aR2A,VASA Fitness,84003,40.371746,-111.782269
general_gym,0,129852.0,607500.0,26.9,18.539427537051704,24.45864916845797,88390.0,1,3,93995.65217391304,0.24889693404231247,32463.0,0.0,wedeiyVwcdLpkqksIkpMbQ,VASA Fitness - Lehi,84043,40.430043304978575,-111.82307222667929
other,2,115515.0,659900.0,41.1,24.097964638157897,18.493009868421055,38912.0,4,15,39977.77777777778,0.4368832236842105,7219.6875,1.0,oN6AlSFFdKoVbajK9_QG8Q,The Anatomy of Wellness,84121,40.6251747,-111.8207605
mind_body,0,106732.0,528700.0,36.5,19.111498891191335,21.372741483985894,27507.0,2,25,45223.07692307692,0.4362525902497546,4105.076923076923,1.0,GyMHs8PiJ417GbqD65zcTw,Mountain Yoga Sandy,84094,40.581649659582894,-111.85228631901076
martial_arts,0,105142.0,482500.0,34.5,12.977974915876414,21.211889466707454,39228.0,1,19,37822.72727272727,0.5353319057815846,5257.1,1.0,lkv46KzWibb2AU55gi-ZRA,Absolute MMA,84088,40.6099,-111.93048
personal_training,0,75954.0,434300.0,33.1,16.5726657934832,31.530833177407715,37411.0,1,11,117960.0,0.24057095506669163,6329.5,1.0,_CSPFr9GieWI0AHd7ogdyg,Big Mountain Barbell,84047,40.6121199,-111.911007
mind_body,0,105649.0,536100.0,27.8,16.987011900529144,23.627465333695856,47813.0,1,22,75313.33333333333,0.2928073954782172,4593.434782608696,1.0,4Na1GPIGUAMWuw9x-ABOjg,Purify Wellness Center,84062,40.35095178486144,-111.76098355998916
other,0,128910.0,784800.0,34.3,20.65316838378615,19.990850869167428,50278.0,5,15,43699.99999999999,0.43756712677513027,8056.875,1.0,hQdXK2Oe7pH3WCOzFvLQjQ,Neighborhood Acupuncture and Healing Arts,84020,40.52259968172675,-111.86464929833544
martial_arts,0,78991.0,461900.0,32.3,14.882515095825678,23.601995274350223,30472.0,5,24,44950.0,0.4922551850879496,3159.64,1.0,W_sW-1gmb4kw7T7CccYZcg,Westwind Karate Schools,84070,40.579011,-111.874025
other,0,78991.0,461900.0,32.3,14.882515095825678,23.601995274350223,30472.0,2,16,44950.0,0.4922551850879496,4646.529411764706,1.0,UTMSiLFDOTwtqaH2k2eD6w,Momentum Indoor Climbing- Sandy,84070,40.564417706467005,-111.897902
martial_arts,0,126968.0,718200.0,39.1,19.50586525485311,16.529118654624728,38532.0,0,16,30328.571428571428,0.5190491020450535,7468.705882352941,1.0,ckiv88p9G9RpfMJq5dYHIg,Unified Brazilian Jiu Jitsu,84095,40.5616157,-111.9227193
martial_arts,0,138556.0,698900.0,40.8,22.872942063591807,13.430522391185958,23871.0,3,18,35622.22222222222,0.3351346822504294,7292.421052631579,1.0,wrTChy7IJ9ysqxGzUZvIag,Personal Mastery Martial Arts,84093,40.5931945,-111.83078077916794
mind_body,0,126968.0,718200.0,39.1,19.50586525485311,16.529118654624728,38532.0,1,16,30328.571428571428,0.5190491020450535,7468.705882352941,1.0,ZCj4QbfqB_czH-Gc_CuDuA,Evolve Wellness Collective,84095,40.562785,-111.903721
martial_arts,0,75954.0,434300.0,33.1,16.5726657934832,31.530833177407715,37411.0,2,11,117960.0,0.24057095506669163,6329.5,1.0,5-BvKiwXYRr7UB2hr4_Kpw,WestWind Karate,84047,40.619881,-111.899476
general_gym,0,78991.0,461900.0,32.3,14.882515095825678,23.601995274350223,30472.0,2,19,44950.0,0.4922551850879496,3949.55,1.0,mWbxSuoaJufpbQ2_CbI8GQ,Orangetheory Fitness,84070,40.56487,-111.89016
mind_body,0,115515.0,659900.0,41.1,24.097964638157897,18.493009868421055,38912.0,5,19,39977.77777777778,0.4368832236842105,5775.75,1.0,QTvSe8eQ_720rBlKp_O1Ww,Yoga Sunné,84121,40.623697,-111.826592
mind_body,0,129852.0,607500.0,26.9,18.539427537051704,24.45864916845797,88390.0,9,14,93995.65217391304,0.24889693404231247,8656.8,1.0,4_MyAmae-ZQ4AKbwue4iTg,Mindpose,84043,40.38821141606656,-111.8446784
other,0,115515.0,659900.0,41.1,24.097964638157897,18.493009868421055,38912.0,0,19,39977.77777777778,0.4368832236842105,5775.75,1.0,ZfPeORlTE_Bcj1cl8_7QaA,Awaken Studios,84121,40.639136,-111.855087
personal_training,0,128910.0,784800.0,34.3,20.65316838378615,19.990850869167428,50278.0,2,12,43699.99999999999,0.43756712677513027,9916.153846153846,1.0,qWZgkbOAxnpyx75PUpg7gw,Collin Willis Fitness,84020,40.50364,-111.8984059
mind_body,0,128910.0,784800.0,34.3,20.65316838378615,19.990850869167428,50278.0,2,14,43699.99999999999,0.43756712677513027,8594.0,1.0,NW_n4LKv1ihlf8MMHUHnHQ,Cradle Your Soul Yoga & Massage,84020,40.5274184,-111.8973735
mind_body,0,129852.0,607500.0,26.9,18.539427537051704,24.45864916845797,88390.0,1,3,93995.65217391304,0.24889693404231247,32463.0,1.0,B67jt2aW5FvcmwIG19P3Sg,Club Pilates,84043,40.4332726738586,-111.8804735
martial_arts,0,115515.0,659900.0,41.1,24.097964638157897,18.493009868421055,38912.0,1,22,39977.77777777778,0.4368832236842105,5022.391304347826,1.0,ckRQQHtO550JF9JmYq1i5g,TITLE Boxing Club,84121,40.609318,-111.832133
other,0,75954.0,434300.0,33.1,16.5726657934832,31.530833177407715,37411.0,2,11,117960.0,0.24057095506669163,6329.5,1.0,atNDyoeFAkQzl3BhtismTA,Shao Long Academy of Chinese Martial Arts,84047,40.6248341,-111.9016698
general_gym,0,75954.0,434300.0,33.1,16.5726657934832,31.530833177407715,37411.0,2,21,117960.0,0.24057095506669163,3452.4545454545455,1.0,KyToP5E4YwwNSGWBKMjKRA,Orangetheory Fitness,84047,40.6248833713755,-111.855084531006
personal_training,0,128910.0,784800.0,34.3,20.65316838378615,19.990850869167428,50278.0,7,13,43699.99999999999,0.43756712677513027,9207.857142857143,1.0,4iPOgVdlbphwq6XwMw0mVQ,Planet Fitness,84020,40.5288971,-111.8606257
other,0,151500.0,764800.0,43.2,21.35546634841416,12.509493327546926,27651.0,0,3,49414.285714285725,0.21699034392969513,37875.0,1.0,bbrUrlZFj8HUHRv-SunsYg,Stillwell Spa,84092,40.591248,-111.632414
general_gym,0,130331.0,613100.0,23.7,16.63254749169033,20.605780448612123,45429.0,5,10,55064.70588235295,0.3521979352396047,11848.272727272728,1.0,IGeXNYIE2AKDBxJUASeO4w,Anytime Fitness,84045,40.387930241512,-111.908042427672
mind_body,0,130331.0,613100.0,23.7,16.63254749169033,20.605780448612123,45429.0,6,10,55064.70588235295,0.3521979352396047,11848.272727272728,1.0,gb4y9xIPunBeY9N4CS1Z5Q,YogaVega,84045,40.385607,-111.914655
general_gym,0,130331.0,613100.0,23.7,16.63254749169033,20.605780448612123,45429.0,6,10,55064.70588235295,0.3521979352396047,11848.272727272728,0.0,OdmBJUxHCNEbVKknAs_caw,Vasa Fitness - Saratoga Springs,84045,40.386091875502274,-111.91477663422482
general_gym,0,126968.0,718200.0,39.1,19.50586525485311,16.529118654624728,38532.0,3,21,30328.571428571428,0.5190491020450535,5771.272727272727,1.0,PQ598DloUsKXAm59zvwULw,Orangetheory Fitness,84095,40.5425,-111.9809
