category_group,price,median_income,median_home_value,median_age,pct_bachelors,pct_prime_gym_age,total_pop,competition_1km,competition_3km,market_gap,gym_density_per_1k,income_per_competitor,success_score,id,name,zip_code,latitude,longitude
general_gym,0,170500.0,980300.0,38.9,21.770403759470604,12.7937086410281,10427.0,4,11,22233.333333333332,0.47952431188261246,14208.333333333334,0.6919866229338552,g5_H-U7ek51C1tT1ep4igQ,Alpine Fitness,84004,40.448977,-111.779317
other,0,170500.0,980300.0,38.9,21.770403759470604,12.7937086410281,10427.0,4,11,22233.333333333332,0.47952431188261246,14208.333333333334,0.6799378890944546,HKOIqLtg9f780JHOouonGg,Alpine Physical Therapy,84004,40.450027,-111.777381
mind_body,0,170500.0,980300.0,38.9,21.770403759470604,12.7937086410281,10427.0,4,11,22233.333333333332,0.47952431188261246,14208.333333333334,0.6822855079854728,aUVAXipfJjqpWOWANaEREA,Lifted Life Yoga Center,84004,40.44911,-111.77905
martial_arts,0,120330.0,630300.0,28.0,18.986592373324047,23.54344419293052,57430.0,0,17,67605.0,0.3308375413546927,6685.0,0.7117328553768931,Sig-hMr7IhYV6YrEf2AIcQ,Paul Tom's Academy Of Mixed Martial Arts,84003,40.3797684,-111.8134232
general_gym,0,105649.0,536100.0,27.8,16.987011900529144,23.627465333695856,47813.0,5,18,75313.33333333333,0.2928073954782172,5560.473684210527,0.7031768797260619,Mv_emLBsG3gCcngTxh6YvA,XD Fit,84062,40.35451,-111.735406
mind_body,0,120330.0,630300.0,28.0,18.986592373324047,23.54344419293052,57430.0,6,13,67605.0,0.3308375413546927,8595.0,0.601588439863031,fYygm3ZeZ90uOl0NHmhN8Q,"HOTWORX - Highland, UT - Alpine",84003,40.430906,-111.785981
mind_body,0,105649.0,536100.0,27.8,16.987011900529144,23.627465333695856,47813.0,4,16,75313.33333333333,0.2928073954782172,6214.64705882353,0.7371803103241266,MouzQUyysutTwqSJ8ePO4w,Mountain West Pilates,84062,40.354262699332565,-111.7398412
other,0,129852.0,607500.0,26.9,18.539427537051704,24.45864916845797,88390.0,7,12,93995.65217391304,0.24889693404231247,9988.615384615385,0.786366802597813,M7mIbSQr7ZVnuJrZ3IQFUA,Momentum Indoor Climbing- Lehi,84043,40.382834,-111.834659
general_gym,0,129852.0,607500.0,26.9,18.539427537051704,24.45864916845797,88390.0,9,12,93995.65217391304,0.24889693404231247,9988.615384615385,0.6922855079854728,cnRpqEXy1OlsPNQ6yAlfeQ,CrossFit Lehi,84043,40.3840187,-111.8349131
martial_arts,0,129852.0,607500.0,26.9,18.539427537051704,24.45864916845797,88390.0,9,13,93995.65217391304,0.24889693404231247,9275.142857142857,0.7463806773139638,keOfImau8Bc5WGb60JwsSA,Legends Boxing - Lehi,84043,40.389004375754205,-111.83570423679453
