id,name,zip_code,city,latitude,longitude,rating,review_count,category,distance,is_closed,has_hours,has_transactions,price,total_pop,median_income,median_age,median_home_value,total_households,pct_bachelors,pct_prime_gym_age,competition_1km,competition_3km,competition_5km,is_thriving,log_review_count,success_score,gyms_in_zip,market_gap
g5_H-U7ek51C1tT1ep4igQ,Alpine Fitness,84004,Alpine,40.448977,-111.779317,4.3,16,gyms,,0,1,0,0,10427.0,170500.0,38.9,980300.0,3188.0,21.770403759470604,12.7937086410281,4,11,15,1.0,2.833213344056216,0.6919866229338552,5,22233.333333333332
HKOIqLtg9f780JHOouonGg,Alpine Physical Therapy,84004,Alpine,40.450027,-111.777381,5.0,6,physicaltherapy,,0,1,0,0,10427.0,170500.0,38.9,980300.0,3188.0,21.770403759470604,12.7937086410281,4,11,15,,1.9459101490553132,0.6799378890944546,5,22233.333333333332
aUVAXipfJjqpWOWANaEREA,Lifted Life Yoga Center,84004,Alpine,40.44911,-111.77905,4.9,7,yoga,,0,1,0,0,10427.0,170500.0,38.9,980300.0,3188.0,21.770403759470604,12.7937086410281,4,11,15,,2.0794415416798357,0.6822855079854728,5,22233.333333333332
Sig-hMr7IhYV6YrEf2AIcQ,Paul Tom's Academy Of Mixed Martial Arts,84003,American Fork,40.3797684,-111.8134232,4.9,10,martialarts,,0,0,0,0,57430.0,120330.0,28.0,630300.0,16613.0,18.986592373324047,23.543444192930522,0,17,28,1.0,2.3978952727983707,0.7117328553768931,19,67605.0
Mv_emLBsG3gCcngTxh6YvA,XD Fit,84062,Pleasant Grove,40.35451,-111.735406,5.0,8,intervaltraininggyms,,0,1,0,0,47813.0,105649.0,27.8,536100.0,13931.0,16.987011900529144,23.627465333695856,5,18,35,,2.1972245773362196,0.7031768797260619,14,75313.33333333333
fYygm3ZeZ90uOl0NHmhN8Q,"HOTWORX - Highland, UT - Alpine",84003,Highland,40.430906,-111.785981,5.0,2,yoga,,0,1,0,0,57430.0,120330.0,28.0,630300.0,16613.0,18.986592373324047,23.543444192930522,6,13,15,,1.0986122886681098,0.601588439863031,19,67605.0
MouzQUyysutTwqSJ8ePO4w,Mountain West Pilates,84062,Pleasant Grove,40.354262699332565,-111.7398412,5.0,12,pilates,,0,1,0,0,47813.0,105649.0,27.8,536100.0,13931.0,16.987011900529144,23.627465333695856,4,16,34,1.0,2.5649493574615367,0.7371803103241266,14,75313.33333333333
M7mIbSQr7ZVnuJrZ3IQFUA,Momentum Indoor Climbing- Lehi,84043,Lehi,40.382834,-111.834659,4.5,37,climbing,,0,1,0,0,88390.0,129852.0,26.9,607500.0,24800.0,18.539427537051704,24.45864916845797,7,12,25,1.0,3.6375861597263857,0.786366802597813,22,93995.65217391304
cnRpqEXy1OlsPNQ6yAlfeQ,CrossFit Lehi,84043,Lehi,40.3840187,-111.8349131,5.0,7,intervaltraininggyms,,0,1,0,0,88390.0,129852.0,26.9,607500.0,24800.0,18.539427537051704,24.45864916845797,9,12,23,,2.0794415416798357,0.6922855079854728,22,93995.65217391304
keOfImau8Bc5WGb60JwsSA,Legends Boxing - Lehi,84043,Lehi,40.389004375754205,-111.83570423679453,4.9,15,boxing,,0,1,0,0,88390.0,129852.0,26.9,607500.0,24800.0,18.539427537051704,24.45864916845797,9,13,22,1.0,2.772588722239781,0.7463806773139638,22,93995.65217391304
Sd8a575GjLRu52C8YiTujg,Adam Tischler,84062,Cedar hills,40.4154205322266,-111.764831542969,5.0,2,healthtrainers,,0,1,0,0,47813.0,105649.0,27.8,536100.0,13931.0,16.987011900529144,23.627465333695856,1,8,16,,1.0986122886681098,0.601588439863031,14,75313.33333333333
MNHAheo6ZTgLpmGFLTtVYg,Crossfit hyperion,84062,Pleasant Grove,40.37088,-111.76829,5.0,6,bootcamps,,0,0,0,0,47813.0,105649.0,27.8,536100.0,13931.0,16.987011900529144,23.627465333695856,1,16,28,,1.9459101490553132,0.6799378890944546,14,75313.33333333333
a3goIpfFbEN5mYS7KHkE2A,The Muscle Bus,84095,South Jordan,40.55238,-111.90678,5.0,5,healthtrainers,,0,1,0,0,38532.0,126968.0,39.1,718200.0,13326.0,19.50586525485311,16.529118654624728,1,17,46,,1.791759469228055,0.6656836091915219,20,30328.571428571428
FwnhsULy6VYnxbPC3ETv3Q,The Training Room,84003,American Fork,40.361566,-111.78352,4.3,10,gyms,,0,1,0,0,57430.0,120330.0,28.0,630300.0,16613.0,18.986592373324047,23.543444192930522,4,16,30,1.0,2.3978952727983707,0.6517328553768931,19,67605.0
f5k6pzG_rbJWLcVJOlfMTw,Anytime Fitness,84003,Highland,40.43385,-111.78549,3.0,23,gyms,,0,1,0,0,57430.0,120330.0,28.0,630300.0,16613.0,18.986592373324047,23.543444192930522,6,13,15,0.0,3.1780538303479458,0.5938739478485038,19,67605.0
ERn3jyYtxIuQnfosJKSxTw,Peak State Fit,84115,Salt Lake City,40.7224327,-111.8749404,5.0,4,bike_repair_maintenance,,0,1,0,0,28882.0,65548.0,33.0,434700.0,13115.0,15.275950418946058,34.35703898621979,7,53,123,,1.6094379124341003,0.6488243744103859,18,52226.31578947369
L3F2qT7zc_Thp1603wcgGQ,Lawrence Championship Martial Arts,84003,American Fork,40.3716269,-111.7810942,4.3,6,karate,,0,1,0,0,57430.0,120330.0,28.0,630300.0,16613.0,18.986592373324047,23.543444192930522,5,17,30,,1.9459101490553132,0.6099378890944547,19,67605.0
4xZTbIW9rCZWMt4ez2b0IA,Core Fit Studio,84043,Lehi,40.384176,-111.8341285,5.0,4,gyms,,0,1,0,0,88390.0,129852.0,26.9,607500.0,24800.0,18.539427537051704,24.45864916845797,9,12,25,,1.6094379124341003,0.6488243744103859,22,93995.65217391304
CQfvjLuDJuEDjqLmS-dNeQ,The Ninja Playground,84043,Lehi,40.384176,-111.8341285,3.9,11,challengecourses,,0,1,0,0,88390.0,129852.0,26.9,607500.0,24800.0,18.539427537051704,24.45864916845797,9,12,25,,2.4849066497880004,0.6197787785200128,22,93995.65217391304
wibKw2Ml8IaMB8JK_1SQ6w,Embodied Patience,84124,Millcreek,40.69806,-111.85405,5.0,2,theater,,0,1,0,0,22609.0,120408.0,39.8,746600.0,8442.0,21.491441461364943,16.878234331460924,15,37,91,,1.0986122886681098,0.601588439863031,3,95400.0
e8HM7icP_42ML-49h0V45g,Work Training Studio,84062,Pleasant Grove,40.354793,-111.772739,5.0,3,circuittraininggyms,,0,1,0,0,47813.0,105649.0,27.8,536100.0,13931.0,16.987011900529144,23.627465333695856,3,19,28,,1.3862943611198906,0.6281903386569818,14,75313.33333333333
7SINTlLb9QSFq619CEEWtA,Bhakti House,84062,Pleasant Grove,40.35693,-111.71133,5.0,2,yoga,,0,1,0,0,47813.0,105649.0,27.8,536100.0,13931.0,16.987011900529144,23.627465333695856,0,12,28,,1.0986122886681098,0.601588439863031,14,75313.33333333333
8ep5qd3m0ZQCewhkESZ9Og,KmacFit,84003,American Fork,40.36155077393842,-111.78351965058349,5.0,1,healthtrainers,,0,1,0,0,57430.0,120330.0,28.0,630300.0,16613.0,18.986592373324047,23.543444192930522,4,16,30,,0.6931471805599453,0.5640951693284909,19,67605.0
St0JPrOw7925JXlTtbuZYQ,THE BOX,84062,Pleasant Grove,40.3543,-111.73993,5.0,1,gyms,,0,1,0,0,47813.0,105649.0,27.8,536100.0,13931.0,16.987011900529144,23.627465333695856,4,16,34,,0.6931471805599453,0.5640951693284909,14,75313.33333333333
gtDQp-XEbwPxiCwmsz59JQ,Orangetheory Fitness,84003,American Fork,40.36725,-111.78541,4.4,7,bootcamps,,0,1,0,0,57430.0,120330.0,28.0,630300.0,16613.0,18.986592373324047,23.543444192930522,8,17,30,,2.0794415416798357,0.6322855079854729,19,67605.0
gr_rtqlIAQNX3aM1NzUs2g,Orangetheory Fitness,84043,Lehi,40.43125,-111.82546,3.5,13,bootcamps,,0,1,0,0,88390.0,129852.0,26.9,607500.0,24800.0,18.539427537051704,24.45864916845797,1,1,21,,2.6390573296152584,0.5940330584229456,22,93995.65217391304
